trial_id,genome_length,win_rate,num_games,num_solved,avg_guesses_solved,median_guesses_solved,avg_target_abs,mean_runtime_sec,total_runtime_sec,score,evo_pop_size,evo_genome_length,evo_generations_per_guess,evo_tournament_size,evo_crossover_rate,evo_mutation_rate,evo_elite_fraction,evo_mid_fraction,fit_error_tolerance,fit_value_weight,fit_green_bonus,fit_low_gray_bonus,fit_diversity_bonus_per_symbol,fit_diversity_min_symbols
33,10,0.15,20,3,1.3333333333333333,1.0,67429.57033253675,23.653905564999995,473.07811129999993,11.0,1120,20,45,3,0.3620428137836275,0.24516185301695678,0.14369292436516576,0.3505525236751822,43.47782805176902,0.9385243124301996,14.062634336955876,3.760010667572859,2.2949237267877507,3
48,14,0.25,20,5,1.6,1.0,119404.07883869442,9.791914944999991,195.8382988999998,20.2,1327,20,17,5,0.6607711079388736,0.08483385893013443,0.13798520257728542,0.3022301265260019,44.03931481730487,1.9812297719909102,3.0490655987628337,4.979367846159616,2.171561591853024,4
44,18,0.3,20,6,1.6666666666666667,2.0,113588.57164372034,11.544034174999997,230.88068349999992,25.0,554,20,49,4,0.5305222353063562,0.10437486902036007,0.12390485979544298,0.10450597582785748,47.65508648555171,1.5647323142030494,6.024384055251666,1.7231322996972251,1.5183272894851703,6
51,12,0.1,20,2,1.0,1.0,51442.88126582278,8.692980494999995,173.8596098999999,7.0,394,20,44,5,0.6659143575921121,0.2816425700744509,0.06779338343117618,0.4030862734010273,16.33899076684731,0.7568004852260615,8.244026775385162,2.262299889677845,1.777301661059658,6
56,14,0.2,20,4,2.75,3.0,78530.48572202565,5.109984865000018,102.19969730000037,11.75,416,20,25,5,0.6949756361394782,0.21637398362201382,0.04863101678813948,0.181346303082464,32.85769078327526,1.9869612759519042,2.221828936058274,4.386714752992046,0.20788571762542807,6
54,14,0.3,20,6,2.5,2.0,112967.19825757574,8.700346724999992,174.00693449999983,22.5,379,20,50,5,0.7740785234087426,0.11363219926383841,0.014692377565570418,0.3427877273642398,80.45211192525021,1.5556899974472793,11.1339854202096,0.32205625001149785,1.4323953318519478,5
53,13,0.3,20,6,2.1666666666666665,2.0,175966.30665969153,10.114859889999991,202.29719779999982,23.5,623,20,39,3,0.9873603623224051,0.028682381409414662,0.08247266021944398,0.474182563224823,22.460807030442105,0.8588678410051962,8.565197979394188,3.237328701259358,2.3071354867841523,6
50,18,0.2,20,4,1.25,1.0,95004.24916666668,13.343613325000002,266.8722665,16.25,615,20,49,3,0.35968838181665774,0.20126548756210597,0.11138495561748887,0.3315388921883742,67.31783962087076,1.5236595244035396,7.175429948823202,2.801583519523106,2.629475211663064,3
39,12,0.35,20,7,2.142857142857143,2.0,11271.81893939394,24.569237145000006,491.3847429000001,28.57142857142857,1478,20,40,4,0.47218600242766384,0.2112312318433081,0.02711836711953132,0.49436802049893824,19.77888792606855,0.7810623260005026,2.0339512471564327,1.2600449133155311,0.30638643351201655,3
58,25,0.2,20,4,1.0,1.0,161469.5193919828,7.110561644999985,142.2112328999997,17.0,1188,20,13,5,0.42042995808875133,0.11139746772997439,0.02254651873720205,0.47048860324956776,25.02756194390024,0.5757575161069697,6.419044612751816,3.6617585438203903,2.4989445023210104,6
